開催日,格,レース名,競馬場,距離,馬名,父,母,母父,馬主,生産牧場,セリ結果,写真URL
2026/02/01,,4歳上1勝クラス,京都,ダ1400m,レイワサンサン,スワーヴリチャード,カロンセギュール,Forest Camp,松岡　研司,坂東牧場,"2,420万円（セレクトセール）",
2026/02/01,,4歳上2勝クラス,東京,ダ2100m,ジーティーダーリン,サートゥルナーリア,ディアマイダーリン,ハーツクライ,田畑　利彦,追分ファーム,"9,900万円（セレクトセール）",
2026/02/01,,4歳上2勝クラス,京都,芝1600m,ジーティードレス,サートゥルナーリア,リトルダーリン,ディープインパクト,田畑　利彦,レイクヴィラファーム,"5,720万円（セレクトセール）",
2026/02/01,,4歳上2勝クラス,東京,芝2000m,ログラール,モーリス,ディアデラマドレ,キングカメハメハ,キャロットファーム,ノーザンファーム,,
2026/02/01,,セントポーリア賞（3歳1勝クラス）,東京,芝1800m,ラストスマイル,ポエティックフレア,スナップドラゴン,ゼンノロブロイ,橋本　忠雄,下河辺牧場,,
2026/02/01,,八坂ステークス（4歳以上3勝クラス）,京都,芝2200m,メイショウゲキリン,キズナ,メイショウスズラン,キングカメハメハ,松本　好隆,三嶋牧場,,
2026/02/01,G3,根岸ステークス,東京,ダ1400m,ロードフォンス,ロードカナロア,オーシュペール,ダイワメジャー,ロードホースクラブ,ケイアイファーム,,
2026/02/01,,節分ステークス（4歳以上3勝クラス）,東京,芝1400m,ウイントワイライト,レイデオロ,ダイワベスパー,ダイワメジャー,ウイン,コスモヴューファーム,,
2026/02/01,,衣笠特別（4歳以上2勝クラス）,京都,ダ1800m,キングブルー,ロードカナロア,ルルパンブルー,ジャングルポケット,ＴＮレーシング,千代田牧場,,
2026/02/01,,障害4歳上未勝利,小倉,障2860m,グアラニア,マインドユアビスケッツ,ファド,ダイワメジャー,Ｇリビエール・レーシング,ディアレストクラブ,,
2026/02/07,,3歳1勝クラス,東京,ダ1400m,マジッククッキー,マインドユアビスケッツ,ジョリーアップ,バトルプラン,小田　吉男,大島牧場,,
2026/02/07,,3歳未勝利,小倉,芝1200m,ウォーターデライト,ロードカナロア,ウォーターラボ,マンハッタンカフェ,山岡　正人,伏木田牧場,,
2026/02/07,,3歳未勝利,京都,ダ1800m,キリオス,ロードカナロア,アイヴィベル,Archarcharch,ケイズジャパン,レイクヴィラファーム,"5,500万円（セレクトセール）",
2026/02/07,,3歳未勝利,小倉,芝2000m,クラウンインジエア,モーリス,ラヴァリーノ,Unbridled's Song,矢野　悦三,クラウン日高牧場,,
2026/02/07,,3歳未勝利,東京,芝1600m,ターンザテーブルス,ポエティックフレア,リバースシンキング,ディープブリランテ,Ｇ１レーシング,社台コーポレーション白老ファーム,,
2026/02/07,,3歳未勝利,小倉,ダ1000m,パドゼフィール,ルヴァンスレーヴ,ソロダンサー,ゴールドアリュール,Ｇ１レーシング,追分ファーム,,
2026/02/07,,3歳未勝利,東京,ダ1600m,フクシマブリルハム,ドレフォン,オモテナシ２,Henrythenavigator,西本　資史,チャンピオンズファーム,"2,090万円（セレクトセール）",
2026/02/07,,4歳上1勝クラス,京都,芝2400m,ファーングロット,キズナ,カウアイレーン,キングカメハメハ,社台レースホース,社台ファーム,,
2026/02/07,,4歳上1勝クラス,京都,ダ1200m,モカラマーズ,アドマイヤマーズ,オアシスクイーン,シニスターミニスター,村上　憲政,岡田牧場,,
2026/02/07,,4歳上2勝クラス,京都,芝2000m,ヴァリディシームス,キズナ,ヴァリディオル,Dynaformer,社台レースホース,社台コーポレーション白老ファーム,,
2026/02/07,OP,アルデバランステークス,京都,ダ1900m,ゼットリアン,モーリス,ネオシルヴィア,ネオユニヴァース,フォーレスト,フジワラフアーム,,
2026/02/07,,豊前ステークス（4歳以上3勝クラス）,小倉,ダ1700m,カペルブリュッケ,ドレフォン,エリンズロマーネ,ノヴェリスト,社台レースホース,社台ファーム,,
2026/02/07,,ＲＫＢ賞（4歳以上2勝クラス）,小倉,芝1800m,トーアライデン,マインドユアビスケッツ,ジョーヌダンブル,アグネスデジタル,高山ランド,トーア牧場,,
2026/02/08,,3歳新馬,小倉,芝2000m,アンジュドジョワ,キタサンブラック,ピースエンジェル,Dark Angel,社台レースホース,社台コーポレーション白老ファーム,,
2026/02/08,,3歳未勝利,小倉,芝1800m,ムスクレスト,コントレイル,ノイーヴァ,Temple City,前田　葉子,ノースヒルズ,,
2026/02/08,,4歳上1勝クラス,小倉,芝1200m,ヤマニンレセディ,エピファネイア,ヤマニンアンプリメ,シニスターミニスター,土井　肇,錦岡牧場,,
2026/02/08,OP,小倉日経賞,小倉,芝2000m,レーゼドラマ,キズナ,シアードラマ,Burning Roma,社台レースホース,社台ファーム,,
2026/02/08,,由布院特別（4歳以上2勝クラス）,小倉,ダ1700m,パフ,レイデオロ,アンジュエ,アグネスタキオン,ノースヒルズ,土居牧場,,
2026/02/10,,3歳新馬,京都,芝1600m,エレガンスアスク,ポエティックフレア,ネヴァーハーツ,ハーツクライ,廣崎利洋ＨＤ,三嶋牧場,,
2026/02/10,,3歳新馬,東京,芝1600m,マウンテンバローズ,キタサンブラック,ターフウォー,War Front,猪熊　広次,下河辺牧場,,
2026/02/10,,3歳未勝利,東京,ダ2100m,ジーティーブラック,キタサンブラック,マイウェイアムール,ロードカナロア,田畑　利彦,モリナガファーム,,
2026/02/10,,3歳未勝利,東京,ダ1600m,ティルベリー,ドレフォン,グロリアーナ,ハーツクライ,サンデーレーシング,ノーザンファーム,,
2026/02/10,,3歳未勝利,京都,芝2400m,パウンドフォーワン,コントレイル,マダムクレアシオン,Invincible Spirit,ラ・メール,辻　牧場,,
2026/02/10,,3歳未勝利,京都,ダ1400m,リピ,ロードカナロア,イースターアイランド,Giant's Causeway,中辻　明,日高大洋牧場,"2,420万円（セレクトセール）",
2026/02/10,,3歳未勝利,東京,芝2400m,レイヒストリコ,レイデオロ,ヒストリックレディ,ネオユニヴァース,シルクレーシング,ノーザンファーム,,
2026/02/10,,3歳未勝利,京都,ダ1800m,ワンダフルデイズ,ルーラーシップ,シーオブラブ,ディープインパクト,三田　昌宏,ノーザンファーム,,
2026/02/10,,4歳上1勝クラス,京都,ダ1800m,サンコンクエスト,サートゥルナーリア,ビッグワールド,Custom for Carlos,中平　和宏,ノーザンファーム,"4,290万円（セレクトセール）",
2026/02/10,,4歳上1勝クラス,京都,ダ1800m,ルクスフレンジー,モーリス,サトノアイリ,ステイゴールド,ルクス,千代田牧場,,
2026/02/10,G3,きさらぎ賞,京都,芝1800m,ゾロアストロ,モーリス,アルミレーナ,ディープインパクト,サンデーレーシング,ノーザンファーム,,
